Total PnL,Win Rate,Profit Factor,Expectancy,Sharpe Ratio,Max Drawdown,Total Trades,Winning Trades,Losing Trades,Average Win,Average Loss,Largest Win,Largest Loss,Win/Loss Ratio,Trade Type,Long Total PnL,Long Win Rate,Long Profit Factor,Long Total Trades,Long Winning Trades,Long Losing Trades,Long Average Win,Long Average Loss,Long Largest Win,Long Largest Loss,Short Total PnL,Short Win Rate,Short Profit Factor,Short Total Trades,Short Winning Trades,Short Losing Trades,Short Average Win,Short Average Loss,Short Largest Win,Short Largest Loss,Long Threshold,Short Threshold,PnL/MaxDD
876.0,0.5077536552946389,1.0866726031463343,0.38812583074878154,1.4846172668822393,410.0,2257,1146,1111,9.583769633507853,-9.097209720972097,49.0,-50.0,1.0534845218984095,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.004081632653061225,0.0019387755102040817,2.1365853658536587
856.0,0.5014141414141414,1.0775151679797157,0.34585858585858587,1.3937443323274727,420.0,2475,1241,1234,9.588235294117647,-8.948946515397083,49.0,-50.0,1.0714373225519493,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,430.0,0.49822380106571934,1.0851822503961965,1126,561,565,9.764705882352942,-8.934513274336283,49.0,-46.0,0.004081632653061225,0.0018367346938775511,2.038095238095238
631.0,0.5133647798742138,1.1076608087357107,0.4960691823899371,1.3849207091900178,496.0,1272,653,619,9.941807044410414,-9.468497576736672,49.0,-48.0,1.0499878110373735,all,181.0,0.5137362637362637,1.103487707261292,364,187,177,10.320855614973262,-9.88135593220339,47.0,-48.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.00836734693877551,0.0019387755102040817,1.2721774193548387
969.0,0.49396204715353653,1.0629302506819067,0.2786083956296722,1.3427019728780234,524.0,3478,1718,1760,9.526775320139697,-8.748863636363636,50.0,-50.0,1.088915739930242,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,543.0,0.48755284170972285,1.057747527384877,2129,1038,1091,9.58188824662813,-8.618698441796518,50.0,-48.0,0.004081632653061225,0.001326530612244898,1.849236641221374
592.0,0.5136217948717948,1.1027599375108488,0.47435897435897434,1.313261761850169,493.0,1248,641,607,9.911076443057722,-9.490939044481054,49.0,-48.0,1.0442672107162014,all,142.0,0.5147058823529411,1.0861127956337173,340,175,165,10.234285714285715,-9.993939393939394,47.0,-48.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.008571428571428572,0.0019387755102040817,1.2008113590263692
581.0,0.5125709651257097,1.101840490797546,0.47120843471208435,1.2907811421262512,508.0,1233,632,601,9.94620253164557,-9.49251247920133,49.0,-48.0,1.0477945173565273,all,131.0,0.5107692307692308,1.0822347771500314,325,166,159,10.385542168674698,-10.018867924528301,47.0,-48.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.008775510204081634,0.0019387755102040817,1.1437007874015748
675.0,0.5076670317634173,1.0825890126024715,0.3696604600219058,1.277061946983769,489.0,1826,927,899,9.544768069039913,-9.091212458286986,49.0,-50.0,1.049889452351264,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,249.0,0.5178197064989518,1.1143250688705235,477,247,230,9.82591093117409,-9.469565217391304,46.0,-46.0,0.004081632653061225,0.0022448979591836735,1.3803680981595092
611.0,0.5020134228187919,1.0898925996763278,0.41006711409395974,1.2559811249875255,550.0,1490,748,742,9.903743315508022,-9.160377358490566,49.0,-48.0,1.081150145668229,all,181.0,0.5137362637362637,1.103487707261292,364,187,177,10.320855614973262,-9.88135593220339,47.0,-48.0,430.0,0.49822380106571934,1.0851822503961965,1126,561,565,9.764705882352942,-8.934513274336283,49.0,-46.0,0.00836734693877551,0.0018367346938775511,1.1109090909090908
599.0,0.5050778605280974,1.0905244068308901,0.40555179417738657,1.245829623998758,421.0,1477,746,731,9.672922252010723,-9.051983584131326,49.0,-50.0,1.068596972377186,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,173.0,0.515625,1.2781350482315113,128,66,62,12.045454545454545,-10.03225806451613,46.0,-44.0,0.004081632653061225,0.002857142857142857,1.4228028503562946
584.0,0.5061568373298768,1.0856304985337244,0.37848347375243035,1.2096256838858699,428.0,1543,781,762,9.480153649167734,-8.950131233595801,49.0,-50.0,1.0592195132941076,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,165.0,0.5177664974619289,1.1971326164874552,197,102,95,9.823529411764707,-8.810526315789474,46.0,-30.0,0.004081632653061225,0.00010204081632653062,1.3644859813084111
577.0,0.5040053404539386,1.0857482538267202,0.38518024032042725,1.1934516916474527,459.0,1498,755,743,9.67682119205298,-9.056527590847914,49.0,-50.0,1.0684913279380837,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,151.0,0.5033557046979866,1.2057220708446867,149,75,74,11.8,-9.91891891891892,46.0,-44.0,0.004081632653061225,0.0027551020408163266,1.2570806100217864
549.0,0.5123647604327666,1.0912566489361701,0.4242658423493045,1.1894526521894735,514.0,1294,663,631,9.901960784313726,-9.53407290015848,49.0,-48.0,1.0385866447642886,all,99.0,0.5103626943005182,1.0519957983193278,386,197,189,10.16751269035533,-10.074074074074074,47.0,-48.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.00816326530612245,0.0019387755102040817,1.0680933852140078
572.0,0.5020463847203275,1.0854113782290578,0.39017735334242837,1.1868669473317317,547.0,1466,736,730,9.876358695652174,-9.173972602739726,49.0,-48.0,1.0765629159065384,all,142.0,0.5147058823529411,1.0861127956337173,340,175,165,10.234285714285715,-9.993939393939394,47.0,-48.0,430.0,0.49822380106571934,1.0851822503961965,1126,561,565,9.764705882352942,-8.934513274336283,49.0,-46.0,0.008571428571428572,0.0018367346938775511,1.0457038391224862
354.0,0.5142276422764228,1.1493040911008015,0.7195121951219512,1.176193948135218,299.0,492,253,239,10.770750988142293,-9.92050209205021,47.0,-48.0,1.0857062362572787,all,181.0,0.5137362637362637,1.103487707261292,364,187,177,10.320855614973262,-9.88135593220339,47.0,-48.0,173.0,0.515625,1.2781350482315113,128,66,62,12.045454545454545,-10.03225806451613,46.0,-44.0,0.00836734693877551,0.002857142857142857,1.1839464882943145
724.0,0.4913758523866827,1.0649210903873745,0.29041315683914964,1.1740532798748886,719.0,2493,1225,1268,9.694693877551021,-8.794952681388013,50.0,-48.0,1.1023019939683192,all,181.0,0.5137362637362637,1.103487707261292,364,187,177,10.320855614973262,-9.88135593220339,47.0,-48.0,543.0,0.48755284170972285,1.057747527384877,2129,1038,1091,9.58188824662813,-8.618698441796518,50.0,-48.0,0.00836734693877551,0.001326530612244898,1.0069541029207232
